ID,Ratio,Line,Nb_rep,Coc_height,Coc_width
607,H,3,3,4.13,2.065
608,H,3,3,3.843,2.533
609,H,3,3,3.484,2.325
610,H,3,3,3.668,2.869
611,H,3,3,3.341,2.635
612,H,3,3,3.455,2.407
613,H,3,3,3.062,2.438
614,H,4,1,3.787,2.726
615,H,4,1,4.35,2.927
616,H,4,1,3.641,2.467
617,H,4,1,3.785,2.37
618,H,4,1,3.273,2.525
619,H,4,1,3.694,2.619
620,H,4,2,4.266,2.911
621,H,4,2,3.839,2.662
622,H,4,2,3.639,2.655
623,H,4,2,3.849,2.75
624,H,4,3,3.088,2.237
625,H,4,3,3.896,1.921
626,H,4,3,3.648,2.416
627,H,4,3,3.318,1.987
628,H,4,3,4.173,2.299
629,H,4,3,3.644,2.026
630,H,4,3,3.566,2.368
631,H,5,1,3.749,2.69
632,H,5,1,4.166,2.64
633,H,5,1,4.652,2.41
634,H,5,2,3.565,2.116
635,H,5,2,2.553,2.594
636,H,5,3,4.154,2.467
637,H,5,3,3.452,2.497
638,H,5,3,3.948,2.648
639,H,5,3,4.083,1.836
640,H,5,3,4.141,2.351
641,H,6,2,3.409,2.519
642,H,7,1,3.373,2.306
643,I,1,1,2.934,2.079
644,I,1,1,2.951,2.087
645,I,1,1,2.812,2.343
646,I,1,1,3.146,2.508
647,I,1,1,3.553,2.55
648,I,1,1,3.102,2.279
649,I,1,1,2.97,2.494
650,I,1,1,3.555,2.872
651,I,1,1,3.113,2.19
652,I,1,1,3.279,2.32
653,I,1,1,3.122,2.182
654,I,1,1,2.752,2.532
655,I,1,1,3.017,2.425
656,I,1,1,2.921,2.287
657,I,1,1,3.409,2.535
658,I,1,1,3.528,2.462
659,I,1,1,3.359,2.51
660,I,1,2,3.23,2.508
661,I,1,2,3.314,2.756
662,I,1,2,3.679,2.516
663,I,1,2,3.845,2.521
664,I,1,2,3.42,2.389
665,I,1,2,3.447,2.663
666,I,1,2,3.828,2.551
667,I,1,2,3.741,2.119
668,I,1,2,2.55,3.285
669,I,1,2,3.548,2.468
670,I,1,2,3.32,2.422
671,I,1,2,3.603,2.521
672,I,1,2,2.724,2.479
673,I,1,2,3.535,2.787
674,I,1,2,3.748,2.604
675,I,1,2,2.989,2.541
676,I,1,2,3.085,2.672
677,I,1,2,2.681,2.189
678,I,1,2,3.938,2.247
679,I,1,3,3.018,2.368
680,I,1,3,3.321,2.495
681,I,1,3,3.326,2.49
682,I,1,3,3.443,2.288
683,I,1,3,3.649,2.43
684,I,1,3,3.191,2.458
685,I,1,3,3.185,2.277
686,I,1,3,3.31,2.172
687,I,1,3,3.088,2.447
688,I,1,3,3.25,2.235
689,I,1,3,3.295,2.366
